127562, г. Москва, ул. Декабристов, д. 8
141315, Московская область, Сергиево-Посадский район, городское поселение Сергиев Посад, г. Сергиев Посад, площадь Вокзальная, д. 2
141400, Московская область, г. Химки, ул. Молодежная, вл. 3-А, пом. 2
141401, Московская область, г. Химки, проспект Ленинский, д. 1, корп. 1, пом. 017
141420, Московская область, г. Химки, мкр. Сходня, ул.Чапаева, д.1
141503, Московская область, г. Солнечногорск, ул. Железнодорожная, д. 4
141503, Московская область, г. Солнечногорск, ул. Крестьянская, д. 8
141503, Московская область, г. Солнечногорск, ул. Набережная, д. 11 а
141606, Московская область, г. Клин, Бородинский пр., д. 31, стр. 2
141612, Московская область, городское поселение Клин, Клинский р-н, г. Клин, ул. Карла Маркса, д. 37А
141707, Московская область, г. Долгопрудный, Лихачевское шоссе, д. 15
141707, Московская область, г. Долгопрудный, пр. Пацаева, д. 7, корп. 1, пом. 2
141730, Московская область, г. Лобня, ул. Маяковского, д. 1г
141730, Московская область, г. Лобня, ул.Некрасова, д.11а
141800, Московская область, г. Дмитров, ул. Загорская, д. 32а
141800, Московская область, г. Дмитров, ул. Маркова, д. 8 а
141981, Московская область, г. Дубна, пр-т Боголюбова, д. 44А, стр. 1 "Зима", пом. 11,12,13,14,15
142000, Московская область, Домодедовский район, г. Домодедово, микрорайон Центральный, ул. Корнеева, д. 8
142000, Московская область, г. Домодедово, мкр. Авиационный, просп. Туполева, д. 2
142100, Московская область, г. Подольск, пр. Ленина, д. 144
142100, Московская область, г. Подольск, проспект Ленина, д. 107/49, пом. 1
142100, Московская область, г. Подольск, ул. Свердлова, д. 10
142100, Московская область, г. Подольск, ул. Советская, д. 20/44
142104, Московская область, г. Подольск, ул. Б. Серпуховская, д. 32 в
142114, Московская область, г. Подольск, ул. К.Готвальда, д. 1/42, пом. 1
142134, Московская область, г. Подольск, ул. Профсоюзная, д. 13
142161, Московская область, г.Подольск, ул.Мраморная, д.2в, 2г
142171, Московская область, г. Щербинка, ул. Люблинская, д. 17
142181, Московская область, г. Климовск, ул. Молодежная, д. 10
142190, Московская область, г. Троицк, Сиреневый бульвар, д. 8, пом. 2
142200, Московская область, г. Серпухов, ул. Ворошилова, д. 51
142200, Московская область, г. Серпухов, ул. Ворошилова, д. 68
142214, Московская область, г. Серпухов, ул. Ворошилова, д. 147-а
142301, Московская область, г. Чехов, пл. Привокзальная, 6-1,6-2
142400, Московская область, г. Ногинск, ул. Рогожская, д. 85
142400, Московская область, г. Ногинск, ул. Трудовая, д. 4-а
142502, Московская область, г. Павловский Посад, ул. Большая Покровская, магазин
142600, Московская область, г. Орехово-Зуево, пл. Привокзальная, д. 3
142600, Московская область, г. Орехово-Зуево, ул. Ленина, д. 95
142600, Московская область, г. Орехово-Зуево, ул. Ленина, д. 97
142702, Московская область, Ленинский район, г. Видное, ул. Советская, д. 12 а
142800, Московская область, г. Ступино, ул. Бахарева, д. 17
143000, Московская область, г. Одинцово, ул. Советская, д. 1 а
143005, Московская область, г. Одинцово, ул. Чикина, д. 8а
143006, Московская область, г. Одинцово, ул. Верхне - Пролетарская, д. 4
143007, Московская область, г. Одинцово, ул. Свободы, д. 1
143300, Московская область, Наро-Фоминский район, городское поселение Наро-Фоминск, г. Наро-Фоминск, пл. Свободы, д. 2, часть 4
143300, Московская область, г. Наро-Фоминск, ул. Московская, д. 11 б
143406, Московская область, г. Красногорск, ул. Железнодорожная, д. 39
143409, Московская область, г. Красногорск, ул. Братьев Горожанкиных, д. 2 Б
143432, Московская область, Красногвардейский район, пос. Нахабино, ул. Институтская, д. 27
143900, Московская область, г. Балашиха, ул. Некрасова, д. 8
143900, Московская область, г. Балашиха, ул. Свердлова, д. 17 а
143909, Московская область, г. Балашиха, ул. Советская, д. 10а
143912, Московская область, Балашихинский р-н, г. Балашиха-1, шоссе Энтузиастов, д. 32
143964, Московская область, городской округ Реутов, г. Реутов, ул. Ленина, д. 1 А, пом. 406
143969, Московская область, г. Реутов, Носовихинское шоссе, владение №17-В
143969, Московская область, городской округ Реутов, г. Реутов, ул. Носовихинское шоссе, д. 14 А
143981, Московская область, г. Железнодорожный, ул. Центральная, вл. 40
143981, Московская область, г. Железнодорожный, ул. Центральная, д. 37
143987, Московская область, г. Железнодорожный, ул. Советская, д. 26, стр. 1
143987, Московская область, г. Железнодорожный, ул. Советская, д. 45, корп. 5
143989, Московская область, г. Железнодорожный, ул. Жилгородок, д. 43 а
144002, Московская область, г. Электросталь, ул. Горького, д. 14
144002, Московская область, г. Электросталь, ул. Горького, д. 15
183025, Мурманская область, г. Мурманск, ул. Полярные Зори, д. 39
183031, Мурманская область, г. Мурманск, пр-д Халатина, д. 2а
183052, Мурманская область, г. Мурманск, проспект Кольский, д. 152 а
184209, Мурманская область, г. Апатиты, ул. Ферсмана, д. 23
603002, Нижегородская область, г. Нижний Новгород, Канавинский район, ул. Фильченкова, д. 7
603004, Нижегородская область, г. Нижний Новгород, Автозаводский р-н, пр-т Октября, д. 9а
603004, Нижегородская область, г. Нижний Новгород, Автозаводский район, проспект Молодежный, д. 2 б, П 3
603005, Нижегородская область, г. Нижний Новгород, ул. Большая Покровская, д. 7/10
603034, Нижегородская область, г. Нижний Новгород, просп. Ленина, д. 33
603044, Нижегородская область, г. Нижний Новгород, Московский р-н, пр-т Героев, д. 1
603057, Нижегородская область, г. Нижний Новгород, проспект Гагарина, д. 29
603094, Нижегородская область, г. Нижний Новгород, Сормовский район, ул. Белозерская, д. 1а
603106, Нижегородская область, г. Нижний Новгород, ул. Адмирала Васюнина, д. 2Б
603111, Нижегородская область, г. Нижний Новгород, Автозаводский район, ул. Школьная, д. 26а
603135, Нижегородская область, г. Нижний Новгород, пр-т Ленина, д. 49В
603139, Нижегородская область, г. Нижний Новгород, Сормовский район, ул. Героев Космоса, д. 8а
603148, Нижегородская область, г. Нижний Новгород, Московский р-н, ул. Чаадаева, д. 28, пом. П3
603155, Нижегородская область, г. Нижний Новгород, ул. Большая Печорская, д. 57-Б
606000, Нижегородская область, г. Дзержинск, проспект Ленина, д. 64
606029, Нижегородская область, г. Дзержинск, ул. Гайдара, д. 59-Е
606400, Нижегородская область, Балахнинский район, г. Балахна, просп. Дзержинского, д. 40, П2 №№2-10
606440, Нижегородская область, г. Бор, ул. Ленина, д. 111
607220, Нижегородская область, г. Арзамас, ул. Парковая, д. 16А
607650, Нижегородская область, Кстовский район, г. Кстово, ул. Зеленая, д. 24
607657, Нижегородская область, г. Кстово, просп. Победы, д. 3
607660, Нижегородская область, г. Кстово, мкр-н 2-й, у д. 13А
630004, Новосибирская область, г. Новосибирск, Железнодорожный район, Вокзальная магистраль, дом 1
630008, Новосибирская область, г. Новосибирск, ул. Гурьевская, д. 64
630009, Новосибирская область, г. Новосибирск, ул. Большевистская, д. 12
630048, Новосибирская область, г. Новосибирск, пл. им. Карла Маркса, д. 5
630049, Новосибирская область, г. Новосибирск, Красный проспект, д. 184
630064, Новосибирская область, г. Новосибирск, ул. Ватутина, д. 31
630073, Новосибирская область, г. Новосибирск, пр-т Карла Маркса, д. 57
630088, Новосибирская область, г. Новосибирск, улица Громова, д. 14
630089, Новосибирская область, г. Новосибирск, ул. Бориса Богаткова, д. 210/1
630091, Новосибирская область, г. Новосибирск, Центральный район, ул. Мичурина, 12а
630091, Новосибирская область, г. Новосибирск, ул. Мичурина, д. 12 б
630099, Новосибирская область, г. Новосибирск, Центральный р-н, ул. Максима Горького, д. 54
630108, Новосибирская область, г. Новосибирск, ул. Троллейная, д. 17/2
630110, Новосибирская область, г. Новосибирск, ул. Богдана Хмельницкого, д. 72
630117, Новосибирская область, г. Новосибирск, ул. Океанская, д. 9а
630132, Новосибирская область, г. Новосибирск, проспект Димитрова, д. 7
632865, Новосибирская область, Карасукский р-н, г. Карасук, ул. Ленина, д. 24
633010, Новосибирская область, г. Бердск, ул. Лелюха, д. 28
644020, Омская область, г. Омск, улица Марченко, д.8 А
644024, Омская область, г. Омск, ул. Лермонтова, д. 22
644041, Омская область, г.Омск ул.Кирова дом 47
644042, Омская область, г.Омск, пр-кт Маркса, д. 36
644043, Омская область, г. Омск, ул. Тарская, д. 13А
644050, Омская область, г. Омск, пр-кт Мира, д.28
644092, Омская область, г. Омск, ул. Перелета, д. 8Б, пом. 1П
644106, Омская область, г. Омск, проезд Лесной, дом 11
644123, Омская область, г. Омск, ул. Конева, д. 14, корп. 3
460000, Оренбургская область, г. Оренбург, ул. Советская/ул. Кирова/ул. 9 Января/ул. Пушкинская, д. 23/13/34-36/18
460001, Оренбургская область, г. Оренбург, ул. Чкалова, д. 55/1, пом. 3
460047, Оренбургская область, г. Оренбург, ул. Юных Ленинцев, д. №17
460050, Оренбургская область, г. Оренбург, ул. Терешковой, д. 251/2, пом. 1
460052, Оренбургская область, г. Оренбург, мкр-н 70 лет ВЛКСМ, д. 12/1
462363, Оренбургская область, г. Новотроицк, пр-т Комсомольский, д. 1А, пом. 4
462431, Оренбургская область, г. Орск, проспект Ленина, дом № 61
302001, Орловская область, г. Орел, ул. Гагарина, д. 51а
302005, Орловская область, г. Орел, ш. Карачевское, д. 1а
302006, Орловская область, г. Орел, ул. Московская, д. 112а, лит. А,А1,А2
302010, Орловская область, г. Орел, ул. Комсомольская, д. 287
302028, Орловская область, г. Орел, пер. Почтовый, д. 6, пом.81
302028, Орловская область, г. Орел, ул. Октябрьская, д. 25, лит. А, пом. 9
302038, Орловская область, г. Орел, ул. Металлургов, д. 54а, лит. А
302040, Орловская область, г. Орел, ул. 60-летия Октября, д. 9, лит. А, А1, А2, пом. 136
440000, Пензенская область, г. Пенза, Ленинский район, ул. Кирова, д. 42
440026, Пензенская область, г.Пенза, ул. Красная, д. 49
440066, Пензенская область, г. Пенза, проспект Строителей, д. 122А
440067, Пензенская область, г. Пенза, Железнодорожный район, ул. Клары Цеткин, д. 40А
440068, Пензенская область, г. Пенза, ул. Терновского, д. 160Б
614000, Пермский край, г. Пермь, Ленинский район, ул. Екатерининская, д. 114
614000, Пермский край, г. Пермь, Ленинский район, ул. Советская, д. 49
614000, Пермский край, г. Пермь, ул. Ленина, д. 54
614010, Пермский край, г. Пермь, Свердловский район, ул. Куйбышева, д. 95в
614014, Пермский край, г. Пермь, Мотовилихинский район, ул. Славянова, д. 2а
614022, Пермский край, г.Пермь, ул. Стахановская, д.40а
614026, Пермский край, г. Пермь, ул. Первомайская, д. 14, лит. А
614030, Пермский край, г. Пермь, Орджоникидзевский р-н, ул. Писарева, д. 10аа
614032, Пермский край, г. Пермь, Кировский район, ул. Маршала Рыбалко, д. 81
614051, Пермский край, г. Пермь, Мотовилихинский р-н, ул. Уинская, д. 10
614066, Пермский край, г. Пермь, шоссе Космонавтов, д. 115а
614068, Пермский край, г. Пермь, Дзержинский район, ул. Ленина, д.92
614068, Пермский край, г. Пермь, Ленинский район, ш. Космонавтов, д. 4
614070, Пермский край, г. Пермь, Мотовилихинский район, ул. Дружбы, д. 34
614097, Пермский край, г. Пермь, Дзержинский район, просп. Парковый, д. 31/1
614111, Пермский край, г. Пермь, Свердловский район, ул. Солдатова, д. 31а
617470, Пермский край, г. Кунгур, ул. Карла Маркса, д. 4
617470, Пермский край, г. Кунгур, ул. Пугачева, д. 25
617760, Пермский край, г. Чайковский, ул. Кабалевского, д. 14
617831, Пермский край, Чернушинский район, г. Чернушка, ул. Красноармейская, д. 80а
618250, Пермский край, г. Губаха, просп. Ленина, д. 44а
618425, Пермский край, г.Березники, ул. Мира, д. 99
618553, Пермский край, г. Соликамск, ул. Северная, д. 68
618554, Пермский край, г. Соликамск, ул. 20-летия Победы, д. 119
618740, Пермский край, г. Добрянка, ул. Советская, д. 87
618900, Пермский край, г. Лысьва, ул. Ленина, д. 2б
180000, Псковская область, г. Псков, ул. Карла Маркса, д. 14
180004, Псковская область, г. Псков, просп. Октябрьский, д. 56
180007, Псковская область, г. Псков, Рижский просп., д. 16
180007, Псковская область, г. Псков, ул. Розы Люксембург, д. 11, пом. 1001
180019, Псковская область, г. Псков, ул. Труда, д. 53
180024, Псковская область, г. Псков, ул. Коммунальная, д. 73б
344000, Ростовская область, г. Ростов-на-Дону, Ворошиловский р-н, пр. Космонавтов, д. 27в
344000, Ростовская область, г. Ростов-на-Дону, Ворошиловский район, пр. Королева, д. 29в
344000, Ростовская область, г. Ростов-на-Дону, Советский район, ул. Зорге, д. 72а
344002, Ростовская область, г. Ростов-на-Дону, Ленинский р-н, пр. Буденновский, д. 42/50
344002, Ростовская область, г. Ростов-на-Дону, ул. Станиславского, д. 61а
344004, Ростовская область, г. Ростов-на-Дону, Железнодорожный р-н, пр. Стачки, д. 30/34
344011, Ростовская область, г. Ростов-на-Дону, Октябрьский район, пр. Буденновский, д. 87/211
344011, Ростовская область, г. Ростов-на-Дону, Октябрьский район, просп. Буденновский, 93/295
344015, Ростовская область, г. Ростов-на-Дону, Советский район, ул. Еременко, № 66е
344019, Ростовская область, г. Ростов-на-Дону, Пролетарский район, пр. Шолохова, д. 126
344029, Ростовская область, г. Ростов-на-Дону, Первомайский р-н, пр. Сельмаш, д. 15б
344037, Ростовская область, г. Ростов-на-Дону, Пролетарский район, пл. Базарная, д.2
344038, Ростовская область, г. Ростов-на-Дону, Ворошиловский район, пр. Ленина, № 84б
344042, Ростовская область, г. Ростов-на-Дону, Кировский район, пер. Крепостной, д. 113/155
344091, Ростовская область, г. Ростов-на-Дону, Советский р-н, пр. Коммунистический, д. 30
344093, Ростовская область, г. Ростов-на-Дону, Первомайский район, ул. Туполева, д. 20б
344095, Ростовская область, г. Ростов-на-Дону, Первомайский район, ул. Вятская, д. № 43а
344111, Ростовская область, г. Ростов-на-Дону, Пролетарский район, пр-т 40-летия Победы, д. 93а
344113, Ростовская область, г. Ростов-на-Дону, Ворошиловский район, ул. Добровольского, д. 30/1
346400, Ростовская область, г. Новочеркасск, ул. Ленгника, д. 7
346500, Ростовская область, г. Шахты, пр. Победы революции, д. 128, лит. Е
346500, Ростовская область, г. Шахты, ул. Советская, д. 228
346527, Ростовская область, г. Шахты, ул. Индустриальная, д. 2-а
346720, Ростовская область, Аксайский район, г. Аксай, ул. Коминтерна, д. 53а
346780, Ростовская область, г. Азов, ул. Ленина, д. 72 ж
346782, Ростовская область, г. Азов, ул. Привокзальная, д. 4
346880, Ростовская область, г. Батайск, ул. Кирова, 16а
347360, Ростовская область, г. Волгодонск, ул. 30 лет Победы, д. 22
347382, Ростовская область, г. Волгодонск, ул. Энтузиастов, д. №32б
347570, Ростовская область, Песчанокопский район, с. Песчанокопское, пер. Пионерский, № 2Б
347630, Ростовская область, Сальский район, г. Сальск, ул. Крупской, №111
347900, Ростовская область, г. Таганрог, пер. Спартаковский, д. 1-а
347909, Ростовская область, г. Таганрог, ул. Москатова, 6-2
347931, Ростовская область, г. Таганрог, ул. Дзержинского, д. 165-а
347939, Ростовская область, г. Таганрог, ул. Чехова, 326-1
390000, Рязанская область, г. Рязань, ул. Кудрявцева, д. 40
390013, Рязанская область, г. Рязань, Первомайский проспект, д. 56
390013, Рязанская область, г. Рязань, пр. Заводской, 2а
390013, Рязанская область, г. Рязань, ул. МОГЭС, д. 9
390023, Рязанская область, г. Рязань, улица Есенина, стр. 70а
390028, Рязанская область, г. Рязань, ул. Сельских Строителей, 1б стр. 1
390035, Рязанская область, г. Рязань, ул. Черновицкая, 24
390039, Рязанская область, г. Рязань, ул. Интернациональная, д. 17, корп. 1
390044, Рязанская область, г. Рязань, пл. Новаторов, д. 2
390044, Рязанская область, г. Рязань, ул. Крупской, 6
390048, Рязанская область, г. Рязань, ул. Зубковой, д. 26а
443010, Самарская область, г. Самара,  Ленинский р-н, ул. Красноармейская, д.1
443013, Самарская область, г. Самара, Октябрьский район, Московское шоссе, б/н
443016, Самарская область, г. Самара, Промышленный район, ул. Ново-Вокзальная, д. 61, стр. 1
443020, Самарская область, г. Самара, Самарский район, ул. Самарская, д. 99/ул. Льва Толстого, д. 77
443051, Самарская область, г. Самара, Кировский р-н, проспект Металлургов, д. 75
443058, Самарская область, г. Самара, Промышленный район, ул. 22 партсъезда, д. 37, стр. 1
443068, Самарская область, г. Самара, ул. Ново-Садовая, 106
443069, Самарская область, г. Самара, Железнодорожный район, ул. Авроры, д. 110
443077, Самарская область, г. Самара, Кировский р-н, ул. Елизарова, д. 38А
443080, Самарская область, г. Самара, Октябрьский р-н, ул. Революционная, д. 70
443096, Самарская область, г. Самара, Ленинский район, ул. Чернореченская, д. 49в
443099, Самарская область, г. Самара, Самарский р-н, ул. Галактионовская, д.40
443100, Самарская область, г. Самара, Октябрьский р-н, ул. Ново-Садовая/ ул. Первомайская, д.3/д.27
443105, Самарская область, г. Самара, Кировский р-н, проспект Юных Пионеров, д. 166 а
443106, Самарская область, г. Самара, Кировский район, ул. Ташкентская, д. 93Б
443122, Самарская область, г. Самара, Промышленный р-н, ул. З. Космодемьянской, д. б/н, ул. Силина, д. б/н
445004, Самарская область, г. Тольятти, Центральный р-н, Автозаводское шоссе, д. 26
445004, Самарская область, г. Тольятти, Центральный р-н, ул. Толстого, д. 22-А
445007, Самарская область, г. Тольятти, Центральный р-н, бульвар 50 Лет Октября, д. 65-Б
445008, Самарская область, г. Тольятти, Комсомольский р-н, ул. Громовой, д. 32А
445011, Самарская область, г. Тольятти, Центральный район, ул. Карла Маркса, д. 57
445020, Самарская область, г. Тольятти, Центральный р-н, ул. Белорусская, д. 21
445021, Самарская область, г. Тольятти, Центральный район, ул. Мира, д. 107А
445024, Самарская область, г. Тольятти, Автозаводский р-н, ул. Дзержинского, д. 86
445024, Самарская область, г. Тольятти, Автозаводской р-н, ул. Воскресенская, д. 13, стр. 2
445026, Самарская область, г. Тольятти, Автозаводский район, ул. Революционная, д. 28
445026, Самарская область, г. Тольятти, Автозаводской р-н, ул. Революционная, д. 52
445027, Самарская область, г. Тольятти, Автозаводский р-н, проспект Степана Разина, д. 60
445030, Самарская область, г. Тольятти, Автозаводский р-н, ул. Автостроителей, д. 13А
445030, Самарская область, г. Тольятти, Автозаводский р-н, ул. Тополиная, д. 24А
445039, Самарская область, г. Тольятти, Автозаводской р-н, ул. Дзержинского, д. 17А
445042, Самарская область, г. Тольятти, Автозаводский р-н, проспект Степана Разина, д. 19 А
445044, Самарская область, г. Тольятти, Автозаводский р-н, ул. Ворошилова, д. 17
445045, Самарская область, г. Тольятти, Комсомольский р-н, ул. Ярославская, д. 7а
445046, Самарская область, г. Тольятти, Комсомольский р-н, ул. Механизаторов, д. 18
445047, Самарская область, г. Тольятти, Автозаводской район, ул. Льва Яшина, д. 6
445051, Самарская область, г.Тольятти, Автозаводский р-н, ул. Фрунзе, д.6
445057, Самарская область, г. Тольятти, Автозаводский р-н, Приморский бульвар, д. 45
446001, Самарская область, г. Сызрань, ул. Советская, д. 6
446114, Самарская область, г. Чапаевск, ул. Щорса, д. 110А
446200, Самарская область, г. Новокуйбышевск, ул. Горького, д. 37
446205, Самарская область, г. Новокуйбышевск, ул. Горького
410001, Саратовская область, г. Саратов, ш. Ново-Астраханское, д. 65
410005, Саратовская область, г. Саратов, ул. Большая Горная, № 292
410008, Саратовская область, г. Саратов, пос. Октябрьский, 1 Линия, д. 1
410012, Саратовская область, г. Саратов, ул. им. Кутякова И.С., д. 99
410012, Саратовская область, г. Саратов, улица Астраханская, д. 47
410012, Саратовская область, г. Саратов, улица им. Емлютина Д.В., д. 47
410015, Саратовская область, г. Саратов, пл. Им. Орджоникидзе Г.К., д. 1
410015, Саратовская область, г. Саратов, проспект Энтузиастов, д. 18А
410031, Саратовская область, г. Саратов, Волжский район, ул. им. Чернышевского Н.Г. № 218; ул. им. Чернышевского Н.Г. № 220
410031, Саратовская область, г. Саратов, ул. Московская, д. 14
410031, Саратовская область, г. Саратов, улица им. Некрасова Н.А., угол ул. Московской, д. № 54/45
410035, Саратовская область, г. Саратов, ул. им. Тархова С.Ф., 29А
410040, Саратовская область, г. Саратов, ул. Вишневая, № 9В
410044, Саратовская область, г. Саратов, ул. Центральная, 8а
410054, Саратовская область, г. Саратов, ул. Астраханская, д. 40А
410056, Саратовская область, г. Саратов, ул. Им. Сакко и Ванцетти, д. № 65
410065, Саратовская область, г. Саратов, просп. 50 Лет Октября, д. 93Б
413100, Саратовская область, г. Энгельс, улица Маяковского, д. 35
413100, Саратовская область, город Энгельс, площадь Свободы, д. 3
413100, Саратовская область, город Энгельс, улица Максима Горького, д. 47/1
413111, Саратовская область, г. Энгельс, ул. Тельмана, д. 148Б
413119, Саратовская область, Энгельс-19, 5 квартал, д. 11а
413863, Саратовская область, г. Балаково, ул. Трнавская, д. 34/5
693001, Сахалинская область, г. Южно-Сахалинск, пр. Мира, 66
693023, Сахалинская область, г. Южно-Сахалинск, проспект Мира, д. 231
620010, Свердловская область, г. Екатеринбург, ул. Грибоедова, д.13
620012, Свердловская область, г. Екатеринбург, просп. Космонавтов, д. 23а
620014, Свердловская область, г. Екатеринбург, ул. Вайнера, д. 16
620039, Свердловская область, г. Екатеринбург, ул. Машиностроителей, д. 14-а
620041, Свердловская область, г. Екатеринбург, ул. Смазчиков, д. 2-а
620041, Свердловская область, г. Екатеринбург, ул. Уральская, д. 52-а
620050, Свердловская область, г. Екатеринбург, ул. Техническая, д. 39
620062, Свердловская область, г. Екатеринбург, ул. Гагарина, д. 35б
620073, Свердловская область, г. Екатеринбург, ул. Крестинского, д. 59, корп. 1
620075, Свердловская область, г. Екатеринбург, ул. Малышева, д. 64/ ул. Гоголя, д. 1
620102, Свердловская область, г. Екатеринбург, ул. Белореченская, д. 28а
620137, Свердловская область, г. Екатеринбург, ул. Блюхера, д. 32
622001, Свердловская область, г. Нижний Тагил, ул. Красноармейская, д. 42а
622005, Свердловская область, г. Нижний Тагил, ул. Гастелло, д. 4 а
622013, Свердловская область, г. Нижний Тагил, р-н Привокзальная площадь
622034, Свердловская область, г. Нижний Тагил, пр. Строителей, д. 29
622042, Свердловская область, г. Нижний Тагил, ул. Карла Либкнехта, д. 17а
622049, Свердловская область, г. Нижний Тагил, шоссе Черноисточинское, д. 17
622051, Свердловская область, г. Нижний Тагил, пр-т Дзержинского, д. 44 "А"
622052, Свердловская область, г. Нижний Тагил, ул. Зари, д. 5 А
623101, Свердловская область, г. Первоуральск, ул. Ленина, д. №5а
623408, Свердловская область, г. Каменск-Уральский, ул. Суворова, д. 38а
624992, Свердловская область, г. Серов, ул. Народная, д. 29
214000, Смоленская область, г. Смоленск, проспект Гагарина, дом 10/2
214004, Смоленская область, г. Смоленск, ул. Николаева, д. 12-а
214004, Смоленская область, г. Смоленск, ул. Николаева, д. 27-б
214012, Смоленская область, г. Смоленск, ул. Беляева, д. 4
214012, Смоленская область, г. Смоленск, ул. Кашена, д. 1-а
214012, Смоленская область, г. Смоленск, ул. Ново-Ленинградская, д. 11
214015, Смоленская область, г. Смоленск, ул. Большая Краснофлотская, д. 61
214019, Смоленская область, г. Смоленск, ул. Крупской, д. 41
214020, Смоленская область, г. Смоленск, ул. Шевченко, дом 65
214031, Смоленская область, г. Смоленск, ул. 25-го Сентября, д. 50-а
214036, Смоленская область, г. Смоленск, ул. Рыленкова, д. 35-б
214036, Смоленская область, г. Смоленск, ул. Рыленкова, д. 40
214039, Смоленская область, г. Смоленск, мкр-н Королевка, д. 1
215110, Смоленская область, г. Вязьма, ул. 25-го Октября, дом 18
392000, Тамбовская область, г. Тамбов, ул. Державинская, д. 10а, 1
392000, Тамбовская область, г. Тамбов, ул. Советская, д. 90А
392000, Тамбовская область, г. Тамбов, ул. Студенецкая, д. 9 Б
392003, Тамбовская область, г. Тамбов, бул. Энтузиастов, д. №1К
392003, Тамбовская область, г. Тамбов, бульвар Энтузиастов, д. 2Д
392005, Тамбовская область, г. Тамбов, ул. Астраханская, д. 190
392024, Тамбовская область, г. Тамбов, улица Шлихтера, дом №3б
392525, Тамбовская область, Тамбовский район, п. Строитель, мкр. "Северный", д. №30а
393194, Тамбовская область, г. Котовск, улица Набережная, д. 13Б
393250, Тамбовская область, г. Рассказово, у лица 8 Марта, д. 10
393250, Тамбовская область, г. Рассказово, ул. Базарная площадь, д. 3
393670, Тамбовская область, г.Жердевка, улица Советская, д.63
393764, Тамбовская область, г. Мичуринск,  ш. Липецкое, д. 69 А
393773, Тамбовская область, г. Мичуринск, улица Красная, в районе производственного здания ОАО "Мичуринский завод автонасосов"
393950, Тамбовская область, г. Моршанск, улица Интернациональная, д. 50, пом. № 5
170002, Тверская область, г. Тверь, ул. 1-я Суворова, д. 15
170003, Тверская область, г. Тверь, ш. Петербургское, д. 37
170028, Тверская область, г. Тверь, ул. Орджоникидзе, д. 46а
170042, Тверская область, г. Тверь, наб. Афанасия Никитина, д. 110
170100, Тверская область, г. Тверь, ул. Трехсвятская, д. 6, корп. 1
634009, Томская область, г. Томск, пр-т Ленина, д. 174, пом. № п001, п002, п003, п005, п006, п007, п009, п010
634021, Томская область, г. Томск, пр-т Фрунзе, д. 101
634034, Томская область, г. Томск, проспект Ленина, д. 41
634041, Томская область, г. Томск, ул. Дзержинского, д. 54а
634062, Томская область, г. Томск, Иркутский тракт, д. 116/2
634063, Томская область, г. Томск, ул. Сергея Лазо, д. 16
636039, Томская область, ЗАТО Северск, г. Северск, пр. Коммунистический, д. 92а
300001, Тульская область, г. Тула, Пролетарский р-н, ул. Пролетарская, д. 39в
300001, Тульская область, г. Тула, ул. Марата/ул. Плеханова, д. б/н
300004, Тульская область, г. Тула, ул. Кутузова, д. 29
300012, Тульская область, г. Тула, Центральный район, просп. Ленина, д. 85
300013, Тульская область, г. Тула, Советский район, ул. Болдина, д. 33
300028, Тульская область, г. Тула, ул. 9 мая, д. 16
300034, Тульская область, г. Тула, Советский район, ул. Лейтейзена, д. 2
300041, Тульская область, г. Тула, Советский район, просп. Красноармейский, д. 19б
300041, Тульская область, г. Тула, Центральный район, ул. Советская/ул. Революции, д. 23/6
300044, Тульская область, г. Тула, Зареченский район, ул.Максима Горького, д.27а
300062, Тульская область, г. Тула, Зареченский район, ул. Демидовская, д. 179б
301361, Тульская область, г. Алексин, ул. Мира, д. 23
301650, Тульская область, Новомосковский район,  г. Новомосковск, ул. Березовая, д. 21а
301720, Тульская область, г. Кимовск, ул. Ленина, примерно в 13,0 м по направлению на восток от д. 48
625001, Тюменская область, г. Тюмень, ул. Ямская, д. 96а, кор. 1
625002, Тюменская область, городской округ г. Тюмень, г. Тюмень, ул. Комсомольская, д. 57
625007, Тюменская область, г. Тюмень, ул. Мельникайте, д. 127а, корп.2
625015, Тюменская область, г. Тюмень, ул. 50 лет Октября, д. 10
625048, Тюменская область, г. Тюмень, ул. Республики, д. 81
625048, Тюменская область, г. Тюмень, ул. Харьковская, д. 57
625049, Тюменская область, г. Тюмень, ул. Молодогвардейцев, д. 5
626150, Тюменская область, г. Тобольск, 10 микр-н, д. 24а
626150, Тюменская область, г. Тобольск, 6 микрорайон, 53а
628307, Тюменская область, Ханты-Мансийский АО — Югра, г. Нефтеюганск, мкр-н 8а, строен. 50
628403, Тюменская область, Ханты-Мансийский АО — Югра, г. Сургут, пр. Мира, д. 35
628405, Тюменская область, Ханты-Мансийский АО — Югра, г. Сургут, ул. Югорская, 13, мкр.28
628408, Тюменская область, Ханты-Мансийский АО — Югра, г. Сургут, ул. Энгельса, д. 11
628461, Тюменская область, ХМАО-Югра, г. Радужный, мкр-н 7а, стр. 5
628616, Тюменская область, ХМАО, г. Нижневартовск, жилая зона, 5 мкр-н, ул. Нефтяников, д. 17б
628616, Тюменская область, Ханты-Мансийский АО — Югра, г. Нижневартовск, Жилая зона, мкр-н 6, ул. Мира, д. 11
629803, Тюменская область, Ямало-Ненецкий автономный округ, г. Ноябрьск, ул. Высоцкого, д. 11
432012, Ульяновская область, г. Ульяновск, ул. Хрустальная, № 35-А
